roll_no,date,period,status
24P61A05D4,2026-09-05,1,P
24P61A05F4,2026-09-05,1,P
23A91A0504,2026-09-05,1,P
23A91A0541,2026-09-05,1,P
23A91A0542,2026-09-05,1,P
23A91A0543,2026-09-05,1,P
23A91A0544,2026-09-05,1,P
23A91A0545,2026-09-05,1,P
23A91A0546,2026-09-05,1,P
23A91A0547,2026-09-05,1,P
23A91A0548,2026-09-05,1,P
23A91A0549,2026-09-05,1,P
23A91A0550,2026-09-05,1,P
23A91A0551,2026-09-05,1,P
23A91A0552,2026-09-05,1,P
23A91A0553,2026-09-05,1,P
23A91A0554,2026-09-05,1,P
23A91A0555,2026-09-05,1,P
23A91A0556,2026-09-05,1,P
23A91A0557,2026-09-05,1,P
23A91A0558,2026-09-05,1,P
23A91A0559,2026-09-05,1,P
24P61A05F5,2026-09-05,1,P
24P61A05D4,2026-09-05,2,P
24P61A05D4,2026-09-05,3,P
24P61A05F4,2026-09-05,2,P
24P61A05F4,2026-09-05,3,P
23A91A0504,2026-09-05,2,P
23A91A0504,2026-09-05,3,P
23A91A0541,2026-09-05,2,P
23A91A0541,2026-09-05,3,P
23A91A0542,2026-09-05,2,P
23A91A0542,2026-09-05,3,P
23A91A0543,2026-09-05,2,P
23A91A0543,2026-09-05,3,P
23A91A0544,2026-09-05,2,P
23A91A0544,2026-09-05,3,P
23A91A0545,2026-09-05,2,A
23A91A0545,2026-09-05,3,A
23A91A0546,2026-09-05,2,P
23A91A0546,2026-09-05,3,P
23A91A0547,2026-09-05,2,P
23A91A0547,2026-09-05,3,P
23A91A0548,2026-09-05,2,P
23A91A0548,2026-09-05,3,P
23A91A0549,2026-09-05,2,P
23A91A0549,2026-09-05,3,A
23A91A0550,2026-09-05,2,P
23A91A0550,2026-09-05,3,P
23A91A0551,2026-09-05,2,P
23A91A0551,2026-09-05,3,P
23A91A0552,2026-09-05,2,P
23A91A0552,2026-09-05,3,P
23A91A0553,2026-09-05,2,P
23A91A0553,2026-09-05,3,P
23A91A0554,2026-09-05,2,P
23A91A0554,2026-09-05,3,P
23A91A0555,2026-09-05,2,P
23A91A0555,2026-09-05,3,P
23A91A0556,2026-09-05,2,P
23A91A0556,2026-09-05,3,A
23A91A0557,2026-09-05,2,P
23A91A0557,2026-09-05,3,P
23A91A0558,2026-09-05,2,P
23A91A0558,2026-09-05,3,P
23A91A0559,2026-09-05,2,P
23A91A0559,2026-09-05,3,P
24P61A05F5,2026-09-05,2,P
24P61A05F5,2026-09-05,3,P
24P61A05F1,2026-09-05,2,P
24P61A05F1,2026-09-05,3,P
